,min,max,mean,std
action_0,-0.02,0.02,0.0004174603174603163,0.013329274798032755
action_1,-0.010914285714285715,0.015085714285714287,0.0017846560846560848,0.006456897530019034
action_2,-0.02,0.02,0.000583068783068783,0.010467210463679441
action_3,-0.020190476190476193,0.019047619047619046,-0.00020811287477954146,0.006389372266680978
action_4,-0.02114285714285714,0.019047619047619046,-0.0007160493827160492,0.007861438422619823
action_5,-0.009523809523809523,0.013904761904761904,0.0011728395061728397,0.0039785400686742104
action_6,-1.0,1.0,0.0,0.13608276348795434
action_7,0.0,1.0,0.009259259259259259,0.09577852252582036
