,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14
count,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
mean,-3.322332542908662,-1.3577536715348857,2.2105421357684665,-2.4349595016850656,-1.5971369584348762,2.950266626146105,0.4327219771566214,0.014253705563196153,-0.04632305519960398,0.7013317787942298,0.7115621077818552,-0.009429055510801468,0.020837021131184512,0.46296296296296297,0.26851851851851855
std,0.29925700085472556,0.20288957473418845,0.08337631446967976,0.17782847912223027,0.041529777878462515,0.3402375958753204,0.045788557839560595,0.13246322941813865,0.054884833733510975,0.015302620689835372,0.015857398229500407,0.026625096948019955,0.010370507562833309,0.5009509820989526,0.4452549722440672
min,-3.696216408406393,-1.7802699247943323,2.113462448120117,-2.709797207509176,-1.6630671660052698,2.544137477874756,0.32926347851753235,-0.15997065603733063,-0.1274762898683548,0.686053902586244,0.6867643595686982,-0.05402954728596552,0.004187411030225519,0.0,0.0
25%,-3.6288111845599573,-1.5202271381961268,2.149769902229309,-2.5238677898990076,-1.6395711342441004,2.6060661673545837,0.4035496264696121,-0.12672328390181065,-0.07839802093803883,0.6901114657044822,0.6905538045530478,-0.04343119790052788,0.009545707191011641,0.0,0.0
50%,-3.351481858883993,-1.328921381627218,2.1978116035461426,-2.4419363180743616,-1.574623171483175,2.8937292098999023,0.43588799238204956,0.02293360698968172,-0.045073820278048515,0.6939805875606386,0.7196942547853487,0.004657684094507321,0.023101755676373827,0.0,0.0
75%,-3.016750935708181,-1.2454729715930384,2.220989465713501,-2.3262540737735193,-1.5640475193606775,3.291221499443054,0.4812815636396408,0.1452224999666214,-0.003101274312939495,0.7222033186211525,0.7236067919561516,0.01075944722937822,0.030486989708127406,1.0,1.0
max,-2.887926165257589,-1.073146168385641,2.4609506130218506,-2.0789879004107874,-1.5368335882769983,3.4553534984588623,0.48996955156326294,0.1957014501094818,0.05437861382961273,0.724841452269949,0.7268329194800485,0.02358033838738778,0.03726252044030724,1.0,1.0
